inputLength,outputLength,sAlgorithm,buffersize,time
40480, 0, SHA3-384, 256, 0
40480, 0, SHA3-384, 512, 0
40480, 0, SHA3-384, 1024, 0
40480, 0, SHA3-384, 2048, 0
40480, 0, SHA3-384, 4096, 0
40480, 0, SHA3-384, 8192, 0
40480, 0, SHA3-384, 16384, 0
40480, 0, SHA3-384, 32768, 0
40480, 0, SHA3-384, 65536, 0
40480, 0, SHA3-384, 131072, 0
40480, 0, SHA3-384, 262144, 0
40480, 0, SHA3-384, 524288, 0
40480, 0, SHA3-384, 1048576, 0
40480, 0, SHA3-384, 2097152, 0
40480, 0, SHA3-384, 4194304, 0
40480, 0, SHA3-384, 8388608, 0
40480, 0, SHA3-384, 16777216, 1
40480, 0, SHA3-384, 33554432, 0
40480, 0, SHA3-384, 67108864, 0
40480, 0, SHA3-512, 1, 0
40480, 0, SHA3-512, 2, 0
40480, 0, SHA3-512, 4, 0
40480, 0, SHA3-512, 8, 0
40480, 0, SHA3-512, 16, 0
40480, 0, SHA3-512, 32, 0
40480, 0, SHA3-512, 64, 0
40480, 0, SHA3-512, 128, 0
40480, 0, SHA3-512, 256, 0
40480, 0, SHA3-512, 512, 0
40480, 0, SHA3-512, 1024, 0
40480, 0, SHA3-512, 2048, 0
40480, 0, SHA3-512, 4096, 0
40480, 0, SHA3-512, 8192, 0
